status,name,address,city,state,zip,website,email,phone
inactive,HB Home,375 Fairfield Avenue,Stamford,CT,06902,hbhomedesign.com,info@hbhome.com,914 417 2830
inactive,Patrik Lonn Design,12 Desbrosses Street,New York,NY,10013,patricklonn.com,info@patriklonn.com,212 400 4841
inactive,Bakes and Company,3253 Noyac Road,Sag Harbor,NY,11963,bakesandcompany.com,info@bakesandcompany.com,631 725 1010
inactive,Foley & Cox,135 W 29th Street #900,New York,NY,10001,foleyandcox.com,info@foleyandcox.com,212 529 5800
inactive,Brady Design,129 Main Street,Southampton,NY,11968,bbradydesign.com,bbrady@bbradydesign.com,631 283 3111
inactive,Old Town Crossing,46 Main Street,Southampton,NY,11968,oldtowncrossing.com,info@oldtowncrossing.com,631 283 7740
inactive,Elsa Soyars,PO BOX 859,Southampton,NY,11969,elsasoyars.com,elsa32@optonline.net,631 875 1694
inactive,Christina Murphy Interiors,"120 E 62nd Street, Suite 4D",New York,NY,10065,christinamurphyinteriors.com,unknown@christinamurphyinteriors.com,212 842 0773
inactive,diSalvo Interiors,241 Rushmore Avenue,Carle Place,NY,11514,disalvointeriors.com,annemarie@disalvointeriors.com,516 873 6011
inactive,LSID Inc.,"28 W 27th Street, 2nd Floor",New York ,NY,10001,studiolsid.com,info@studiolsid.com,212 675 5007 
inactive,Jack Levy Design,"1140 Broadway, Suite 308",New York,NY,10001,jacklevydesign.com,unknown@jacklevydesign.com,212 980 8900
inactive,ARDEN Interior Architecture & Design,"40 E 89th Street, Suite 6B",New York,NY,10128,ardenstephenson.com,info@ardenstephenson.com,917 447 4012
inactive,Lillian August,32 Knight Street Norwalk,Norwalk,CT,06851,lillianaugust.com,info@lillianaugust.com,203 847 3314
inactive,Carol Egan Interiors,"210 Eleventh Avenue, Suite 504",New York,NY,10001,caroleganinteriors.com,contact@carolegan.com,212 671 2710
inactive,Stevens Design Group,"315 Seventh Avenue, Suite 22C",New York,NY,10001,bradleystephens.com,info@bradleystephens.com,212 929 5100
inactive,Mabley Handler Interior Design,34 Head of Pond Road,Water Mill,NY,11976,mableyhandler.com,design@mableyhandler.com,631 726 7300
inactive,Laura Casey Interiors,,Charlotte ,NC,,lauracaseyinteriors.com,info@lauracaseyinteriors.com,704 625 0422
inactive,Patrick Ahearn,160 Commonwealth Avenue,Boston ,MA,02116,patrickahearn.com,jkemps@patrickahearn.com,617 266 1710
inactive,Tracery Interiors,72 Main Street,Rosemary Beach,FL,32461,traceryinteriors.com,shop@traceryinteriors.com,850 231 6755
inactive,Gary Riggs Home,5217 Alpha Road,Dallas,TX,75240,garyriggshome.com,shari@garyriggshome.com,214 547 1054
inactive,And Beige,1781 Florida Avenue,Washington,DC,20009,andbeige.com,info@andbeige.com,202 234 1557
inactive,Annsley Interiors,50 Commonwealth Avenue,Boston,MA,02116,annsleyinteriors.com,annsley@annsleyinteriors.com,617 266 1426
inactive,Heather Scott Home and Design,"10,000 Research Boulevard, Suite 103",Austin,TX,78759,heatherscotthome.com, info@heatherscotthome.com,512 342 6899
