status,name,address,city,state,zip,website,email,phone
inactive,Mitch Wise Design,,Door County,WI,,mitchwisedesign.com,mwise@mitchwisedesign.com,920 495 0111
inactive,"Pineapples, Palms, Etc.",287 E Indiantown Road #B3,Jupiter,FL,33477,pineapplespalms.com,info@pineapplespalms.com,561 748 8303
inactive,Fox + Riddle,4516 Lovers Lane #202,Dallas,TX,75225,foxandriddle.com,ann@foxandriddle.com,214 549 5176
inactive,Ken Gemes Interior Design,4 Sunny Brae Place,Bronxville,NY,10708,kengemes.com,info@kengemes.com,914 779 7580
inactive,Atmosphere Interior Design,212 3rd Avenue,South Saskatoon,SK,S7K1L9,atmosphereinteriordesign.net,atmosphere@sasktel.net,306 373 3004
inactive,Jennifer Davis Interior Design,468 N Camden Drive Suite 200,Beverly Hills,CA,90210,jenniferdavisinteriordesign.com,jdavisid@pacbell.net,310 860 7422
inactive,Marmalade Interiors,1350 Beverly Road Suite 115 #174,McLean,VA,22101,marmaladeinteriors.com,contact@marmaladeinteriors.com,800 861 3550
inactive,Meredith Heron,354 Davenport Road Suite 301,Toronto,ON,M5R1K6,meredithheron.com,info@meredithheron.com,416 698 7627
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
