status,name,address,city,state,zip,website,email,phone
inactive,M.Elle Design,2409 Main Street Unit D,Santa Monica,CA,90405,melledesign.com,unknown@melledesign.com,310 396 9090
inactive,Buckingham Interiors + Design,1820 W Grand Avenue,Chicago,IL,60622,buckinghamid.com,julia@buckinghamid.com,312 243 9975
inactive,Anyon Interior Design,,San Francisco,CA,,anyondesign.com,info@anyondesign.com,415 829 2758
inactive,Elizabeth Newman Interior Design,,Charleston,SC,,elizabethnewmanid.com,elizabeth@elizabethnewmanid.com,843 696 7024
inactive,Herlong & Associates,2214 Middle Street,Sullivan's Island,SC,29482,herlongarchitects.com,jim@herlongarchitects.com,843 883 9190
inactive,Jones Pierce Architects,553-3 Amsterdam Avenue,Atlanta,GA,30306,jonespierce.com,cooper@jonespierce.com,404 688 1050
inactive,Jute Home Interiors,495 Miller Avenue,Mill Valley,CA,94941,jutehome.com,info@jutehome.com,415 380 8330
inactive,Cindy Ray Interiors,234 S County Road,Palm Beach,FL,33480,cindyray.com,info@cindyray.com,561 655 7272
inactive,Sarah Richardson Designs,155 George Street,Toronto,ON,M5A 2M8,sarahrichardsondesign.com,info@sarahrichardsondesign.com,416 925 3338
inactive,Patricia Fisher Design,,New York,NY,,patriciafisher.com,contact@patriciafisher.com,917 324 0586
inactive,Jeff Lewis Design,,Los Angeles,CA,,jefflewisdesign.com,info@jefflewisdesign.com,
inactive,Waterleaf Interiors,1210 Morningside Drive,Manhattan Beach,CA,90266,waterleafinteriors.com,jill@waterleafinteriors.com,310 545 3175
inactive,FGH Architects,105 Revere Drive,Northbrook,IL,60062,fgharchitects.com,info@fgharchitects.com,847 715 9395
inactive,Liz Caan,1064 Centre Street,Newton,MA,2459,lizcaan.com,liz@lizcaan.com,617 244 0424
inactive,The French Nest Co Interior Design,,Tucson,AZ,,facebook.com/thefrenchnestcointeriordesign,thefrenchnestco@hotmail.com,520 971 0941
inactive,Jessica Helgerson Interior Design,723 NW 18th Avenue,Portland,OR,97209,jhinteriordesign.com,press@jhinteriordesign.com,503 548 4984
inactive,Timothy Whealon Interiors,23 E 69th Street Number 2,New York,NY,10021,timothywhealon.com,info@timothywhealon.com,212 249 2153
inactive,Wolfe-Rizor Interiors,935 Orange Avenue Suite 100,Winter Park,FL,32789,wolferizor.com,unknown@wolferizor.com,407 647 5780
inactive,Jenn Feldman Designs,,Los Angeles,CA,,jennfeldmandesigns.com,jf@jennfeldmandesigns.com ,310 279 8332
inactive,Suzanne Kasler,425 Peachtree Hills Avenue No 21B,Atlanta,GA,30305,suzannekasler.com,hello@suzannekasler.com,404 355 1035
inactive,Sally Wheat Interiors,,Houston,TX,,sallywheatinterior.com,sallywheat@comcast.net,713 269 1554
