STATUS,MANUFACTURER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
active,Aidan Gray Home,1215 Marsh Lane Suite 100 ,Carrolton,TX,75006,aidangreyhome.com,dr@goagh.com,469 568 8700,"The Aidan Gray line represents products that exude “European Grandeur”. Known for exceptional quality, detail oriented products; Aidan Gray pieces are made by hand from solid wood, rustic metals, and authentic finishes and materials. "
inactive,Amy Howard Home,420 Perkins Extended,Memphis,TN,38117,amyhowardhome.com,kristy@amyhowardcollection.com,901 682 2558,
active,Bella Notte,60 Galli Drive Suite 2,Novato,CA,94949,bellanottelinens.com,leslie3980@sbcglobal.net,415 883 3434,"The world’s first easy care luxury linens - Bella Notte linens are approachable and adaptable couture. Pioneers of garment dyed bedding. Bella Notte LInens uses low-impact fabric and dyes, and all products are manufactured and finished in the USA by local craftspeople. "
active,Benchmade Upholstery,6423 Bandini Boulevard,Commerce,CA,90040,brownstoneupholstery.com,sales@brownstoneupholstery.com,323 232 5400,"Combining modern innovation with classic design, Brownstone creates quality pieces to stand the test of time. "
inactive,Bliss Studio,3030 Airway Avenue Suite 102,Costa Mesa,CA,92626,blissstudio.com,info@blissstudio.com,714 540 7140,
inactive,Blue Ocean Traders,1455 South 7th Street,Louisville,KY,40208,oceantraders.com,jiulia@blueoceantraders.com,502 637 1840,
active,Brownstone,3435 Regatta Boulevard,Richmond,CA,94804,brownstonefurniture.com,info@brownstonefurniture.com,510 236 0703,
active,Cake Vintage / Knobstopper,1707 Broadway ,Nashville,TN,37203,cakevintage.com,sales@cakevintage.com,615 385 7254,
active,Classic Home,4505 Bandini Boulevard,Vernon,CA,90058,classichomefurnishings.com,unknown@classichomefurnishings.com,323 264 7017,
inactive,Coyuchi,2501 Ninth Street Suite 102,Berkeley,CA,94710,coyuchi.com,info@coyuchi.com ,646 478 9903,
inactive,Currey & Co.,50 Best Friend Road,Atlanta,GA,30340,curreyandcompany.com,bmatari@curreyco.com,678 533 1500 ,
inactive,Design Legacy,141 Glass Street,Dallas,TX,75207,design-legacy.com,info@design-legacy.com,214 748 5118,
inactive,Donald McEvoy Ltd.,211 World Trade Center ,Dallas,TX,75342,dmcevoyltd.com,jmcevoy@dmcevoyltd.com,800 362 3869,
active,Dovetail ,14000 S Figueroa Street,Los Angeles,CA,90061,dovetailfurniture.info,info@dovetailfurniture.info,310 380 4800,
inactive,Ecoaccents,PO Box 1615 ,Raleigh,NC,27602,ecoaccents.com,info@ecoaccents.com,111 111 1111,
listing,Eddie Lwrence Books,1537 Howell Mill Road NW Suite B,Atlanta,GA,30318,elawrenceltd.com,elawltd@bellsouth.net,111 111 1111,
active,Elegant Earth,901 33rd Street North,Birmingham,AL,35222,elegantearth.com,lsheilds@elegantearth.com,800 242 7758,
active,Eloquence,1618 Stanford Street Unit A,Santa Monica,CA,90404,eloquenceinc.com,info@eloquenceinc.com,310 453 5503,
active,Face to Face Designs,165 Palm Street,St Simons Island,GA,31522,facetofaceframing.com,sales@facetofaceframing.com,912 261 2312,
active,Four Hands,2090 Woodward Street,Austin,TX,78744,fourhands.com,unknown@fourhands.com,512 371 7575,
