STATUS,MANUFACTURER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,America Retold,PO Box 1027,Tannersville,NY,12485,americaretold.com,info@americaretold.com,518 589 0300,
inactive,Bernard Collection,1345 Cowels Street ,Long Beach,CA,90813,thebernardcollection.com,unknown@thebernardcollection.com,562 624 8897,
inactive,Best Slipcover,14606 Arminta Street,Van Nuys,CA,91402,bestslipcovercompany.com,info@bestslipcovercompany.com,818 780 2428,
inactive,Bradshaw Kirchofer,22926 Mariposa Avenue,Torrance,CA,90502,bradshawkirchofer.com,unknown@bradshawkirchofer.com,310 325 0050,
inactive,Bratt Décor,5 North Haven Street,Baltimore,MD,21224,brattdecor.com,store@brattdecor.com,410 327 4600,
inactive,Canopy,42-61 24th Street,Long Island City,NY,11101,canopydesigns.com,canopydesigns@nyc.rr.com,718 361 3040 ,
inactive,Corsican,1933 South Broadway Suite #1230,Los Angeles,CA,90007,corsican.com,unknown@corsican.com,800 421 6247,
inactive,Decorative Leather Books,,Nashville,TN,,decorativeleatherbooks.com,unknown@decorativeleatherbooks.com,615 499 1292,
inactive,Design Legacy,141 Glass Street ,Dallas,TX,75207,design-legacy.com,unknown@design-legacy.com,214 748 1288,
inactive,E. Lawrence Books,1537 Howell Mill Road,Atlanta,GA,30318,elawrenceltd.com,elawltd@bellsouth.com,404 355 9226,
inactive,East of India,275 Clearbrook Road,Elmsford,NY,10523,eastofindiaus.com,sales@eastofindiaus.com,914 592 1792,
inactive,Eastern Accents,4201 West Belmont Avenue,Chicago,IL,60641,easternaccents.com,customerservice@easternaccents.com,800 397 4556 ,
inactive,Furniture Classics,2308 Granby Street,Norfolk,VA,23507,furnitureclassicsltd.com,info@furnitureclassicsltd.com,888 325 7888,
inactive,Gerson,1450 South Lone Elm Road,Olathe,KS,66061,gersoncompany.com,unknown@gersoncompany.com,800 444 8172,
inactive,Grassroots,9311 Broadway #300,San Antonio,TX,78217,grassrootsimports.com,unknown@grassrootsimports.com,210 805 0191,
inactive,Habersham,PO Box 1209,Toccoa,GA,30577,habershamhome.com,unknown@habershamhome.com,706 886 1476,
inactive,Hudson Valley Lighting,PO Box 7459 106 Pierces Road,Newburgh,NY,12550,hudsonvalleylighting.com,unknown@hudsonvalleylighting.com,845 561 0300,
inactive,Import Collection,7885 Nelson Road,Panorama City,CA,91402,importcollection.com,unknown@importcollection.com,888 782 4620,
inactive,K&K,2230 Superior Street,Sandusky,OH,44870,kkinteriors.com,support@kkinteriors.com,419 627 0039,
inactive,Kalalou,3844 West Northside Drive,Jackson,MS,39209,kalalou.com,help@kalalou.com,800 249 4229,
inactive,Natural Decorations Inc,777 Industrial Park Drive,Brewton,AL,36427,ndi.com,ndi@ndi.com,800 522 2627,
inactive,Old World Design,134 Riveredge Drive,Dallas,TX,75207,owddallas.com,unknown@owddallas.com,214 741 6858,
inactive,Paragon,2224 East Randol Mill Road,Arlington,TX,76011,paragoninc.com,customerservice@paragoninc.com,817 633 3242,
inactive,Peking,1388 San Mateo Avenue,South San Francisco,CA,94080,pkhc.com,sales@pkhc.com,650 871 3788,
inactive,Primitives By Kathy,1817 William Penn Way,Lancaster,PA,17601,primitivesbykathy.com,unknown@primitivesbykathy.com,866 295 2849,
inactive,Roost,200 Gate Five Road Number 116,Sausalito,CA,94965,roostco.com,info@roostco.com,415 339 9500,
inactive,Rosanna,6775 East Marginal Way South Building B,Seattle,WA,98108,rosannainc.com,info@rosannainc.com,206 264 7882,
inactive,Spicher & Co,7072 Carlisle Pike,Carlisle,PA,17015,spicherandco.com,unknown@spicherandco.com,877 466 1148,
inactive,Surya,140 Executive Drive ,Calhoun,GA,30701,surya.com,info@surya.com,877 275 7847,
inactive,Two Girls In Avignon,3806 South Birmingham Place,Tulsa,OK,74105,twogirlsinavignon.com,info@twogirlsinavignon.com,918 743 7996,
inactive,Twos co,500 Saw Mill River Road,Elmsford,NY,10523,twoscompany.com,info@twoscompany.com,914 345 2222,
inactive,Uttermost,7345 Sycamore Canyon Boulevard ,Riverside,CA,92508,uttermost.com,info@uttermost.com,800 678 5486,
inactive,Vagabond Vintage,1660 A Chattahoochee Avenue,Atlanta,GA,30318,vagabondvintage.com,info@vagabondvintage.com,404 351 6484,
inactive,White x White,6700 South West Topeka Boulevard #384,Topeka,KS,19304,whitexwhite.com,unknown@whitexwhite.com,785 862 9493,
inactive,Zentique,1863 Enterprise Drive ,Norcross,GA,30093,zentique.com,sales@zentique.com,770 368 3000,
inactive,Zeugma,1804 Montreal Court Suite E,Tucker,GA,30084,zeugmaimport.com,info@zeugmaimport.com,770 270 2200,
inactive,Zodax,14040 Arminta Street,Panorama City,CA,91402,zodax.com,info@zodax.com,818 785 5626,
