STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,Shelter Furniture,885 Caledonia Road,Toronto Ontario,Canada,M6B 4J1,shelterfurniture.ca,info@shelterfurniture.ca,416 783 3333,
inactive,Empiric Studio,7918 Beverly Boulevard,Los Angeles,CA,90048,empiricstudio.com,info@empiricstudio.com,323 634 7323,
inactive,Walnut Wallpaper,7424 Beverly Boulevard,Los Angeles,CA,90036,walnutwallpaper.com,contact@walnutwallpaper.com,323 932 9166,
inactive,The Coveted Home,4113 W 83rd Street,Prairie Village,KS,66208,covetedhome.com,info@covetedhome.com,913 385 0788,
inactive,Veritables,2806 East Madison Street,Seattle,WA,98112,veritablesdecor.com,veritables@mail.com,206 322 7782,
inactive,Excentricities,1400 Old Dixie Highway,North Palm Beach,FL,33403,excentricities.com,npb@excentricities.com ,561 845 3250,
inactive,Bungalow Classic,1197 Howell Mill Road,Atlanta,GA,30318,bungalowclassic.com,info@bungalowclassic.com,404 351 9120,
inactive,Homenature,6 Main Street,Southampton,NY,11968,homenature.com,info@homenature.com ,631 287 6277 ,
inactive,Celadon,1015 Johnnie Dodds Boulevard,Mount Pleasant,SC,29464,celadonathome.com,celadon@celadonathome.com,843 884 7005,
inactive,wendow Fine Living,1512 W 35th Street Cutoff Suite 100,Austin,TX,78731,wendowfineliving.com,info@wendowfineliving.com,512 284 9732,
inactive,Catbird,219 Bedford Avenue,Brooklyn,NY,11211,catbirdnyc.com,info@catbirdnyc.com,718 599 3457,
inactive,In God We Trust,70 Greenpoint Avenue,Brooklyn,NY,11222,ingodwetrustnyc.com,info@ingodwetrustnyc.com,718 389 3546,
inactive,Hemingway & Pickett,3208 W Sunset Boulevard,Los Angeles,CA,90026,hemingwayandpickett.com,info@hemingwayandpickett.com,323 660 4200,
inactive,Spartan,215 South Lamar Boulevard,Austin,TX,78704,spartan-shop.com,austin@spartan-shop.com,512 579 0303,
inactive,ink & pea,3808 N Williams Avenue Suite 126,Portland,OR,97227,inkandpeat.com,info@inkandpeat.com,503 282 6688,
inactive,Punch,,Portland,OR,,punchportland.com,punch.portland@gmail.com,503 781 9880,
inactive,Bakery Bar,2935 NE Glisan Street,Portland,OR,97232,bakerybar.com,bakerybarcakes@gmail.com,503 477 7779,
inactive,Blackberry Farm,1471 W Millers Cove Road,Walland,TN,37886,blackberryfarm.com,info@blackberryfarm.com,800 557 8864,
inactive,far4,1020 First Avenue,Seattle,WA,98104,far4.net,info@far4.net,206 621 8831,
inactive,Lark Press,3901 N Williams Avenue,Portland,OR,97227,larkpress.com,info@larkpress.com,503 546 9930,
inactive,Stitch,,Middleburg,VA,,taigan.com/shops/stitch,unknown@taigan.com,,
inactive,FOUND,3433 West Alabama Street,Houston,TX,77027,foundforthehome.com,info@foundforthehome.com,713 522 9191,
inactive,Digs Interiors,2225 Bandywood Drive,Nashville,TN,37215,taigan.com/shops/digs,Caitie@digsinteriors.com,615 385 2846,
inactive,Full Circle,3908 Clairmont Avenue S,Birmingham,AL,35222,shopfullcircle.com,info@shopfullcircle.com,205 202 5907,
inactive,Bella Vita,29005 Upper Bear Creek Road,Evergreen,CO,80439,livebellavita.com,info@livebellavita.com,303 674 1151,
