STATUS,NAME,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,Baker & Hesseldenz,8125 East Moonstone Drive,Tucson,AZ,85750,bakerhesseldenz.com,info@bakerhesseldenz.com,520 760 0037,
inactive,Chella Luxury Performance Textiles,6464 Hollister Avenue Suite 5,Goleta,CA,93117,chellatextiles.com,info@chellatextiles.com,805 560 8400,
inactive,Duralee Designer,1775 Fifth Avenue,Bay Shore,NY,11706,duralee.com,info@duralee.com,631 273 8800,
inactive,Fractured Earth,3150 North Estrella Avenue,Tucson,AZ,85705,fracturedearth.com,unknown@fracturedearth.com,520 620 6219,
inactive,Lee Jofa,201 Central Avenue South,Bethpage,NY,11714,leejofa.com,customer.service@leejofa.com,800 453 3563,
inactive,Monmell Designs,,Phoenix,AZ,,monmelldesigns.com,monmelldesigns@gmail.com,,
inactive,Oly Studio,408 Greenwich Street,New York,NY,10012,olystudio.com,unknown@olystudio.com,212 219 8969,
inactive,South Pacific Fabrics,,,,,southpacificfabrics.com,enquiries@southpacificfabrics.com,02 9327 7222,
inactive,Sun Valley Bronze,706 South Main Street,Bellevue,ID,83313,sunvalleybronze.com,dan@sunvalleybronze.com,208 788 3631,
inactive,Vervain,9303 East 46th Street,Tulsa,OK,74145,vervain.com,unknown@vervain.com,800 611 8686,
inactive,Woodcrest,150 Washington Avenue,Peru,IN,46970,woodcrestmfg.com,csr@woodcrestmfg.com,765 472 4471,
inactive,Zinc Textile,16722 West Park Circle Drive,Chagrin Falls,OH,44023,zinctextile.com,unknown@zinctextile.com,800 338 2783,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
