STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,The Ivy Cottage (?),,,,,threecottages.com,,,
inactive,Pistachio press,"250 N Goodman Street, First Floor",Rochester,NY,14607,pistachiopress.com,info@pistachiopress.com,585 329 2724,
inactive,Oceana Cape Cod,PO Box 1550 One Main Street Square,Orleans,MA,02653,oceanacapecod.com,,877 240 1414,
inactive,Barn House Boys (?),21607 NE 242nd Avenue,Battle Ground,WA,98604,barnhousebh.com,theboys@barnhousebh.com,360 666 0833,barnhousemarket.com
inactive,Ferdinand Home - EMAIL PICs,243 Congress Street,Portland,ME,04101,ferdinandhomestore.com,info@ferdinandhomestore.com,207 761 2151,Need pics?
inactive,Stuff Antiques (?),4206 N Central Avenue,Phoenix,AZ,85012,,,602 266 1967,No pics
inactive,Q cumbers,7465 France Avenue South,Edina,MN,55435,qcumbers.com,unknown@qcumbers.com,952 831 0235,
inactive,Embellished Home (?),,,,,theembellishedhouse.com or embellishhome.com,,,
inactive,Linen Tree (?),6137 N Scottsdale Road Suite 111,Scottsdale,AZ,85250,thelinentree.com,info@thelinentree.com,480 483 2044,
inactive,Melrose Vintage,4238 N 7th Avenue,Phoenix,AZ,85013,shopmelrosevintage.com,melrosevintage@cox.net,602 636 0300,
inactive,Vignettes (?),5220 N 7th Street,Phoenix,AZ,85014,,,602 264 4845,
inactive,La Maison Interiors (?),,,,,www.lamaisonaz.com,,,
inactive,Rust & Roses (?),,,,,,,,
inactive,Paris Envy,4624 N 7th Avenue,Phoenix,AZ,85013,parisenvy.blogspot.com,laurie@parisenvy.com,602 266 0966,
inactive,On the Veranda (?),4748 E Indian School Road,Phoenix,AZ,85018,ontheveranda.net,ontheveranda@cox.net,602 955 8690,
inactive,In the Pink (?),,,,,www.inthepinkboutique.com,,,
inactive,Poppy's (?),,,,,poppyshomedecoraz.com,,,
inactive,Antique Plaza (?),,,,,antiqueplazamesa.com,,,
inactive,Sweet Salvage,4648 N 7th Avenue,Phoenix,AZ,85013,sweetsalvage.net,info@sweetsalvage.net,602 279 2996,
inactive,Arizona Design Center,,,,,arizonadesigncenter.com,,,
inactive,Dovecote,2820 Thornfield Road,Winston-Salem,NC,27106,dovecotedecor.com,liz@dovecotedecor.com,336 705 1316,
inactive,Pineapples Palms,287 E Indiantown Road Suite B3,Jupiter,FL,33477,pineapplespalms.com,info@PineapplesPalms.com,561 748 8303,
inactive,Bonnet House,900 N Birch Road,Fort Lauderdale,FL,33304,bonnethouse.org,unknown@bonnethouse.org,954 563 5393,
