status,name,address,city,state,zip,website,email,phone
inactive,The Owen Group Design Firm,,Houston,TX,,tamiowen.com,tamiowen@mac.com,713 515 0380
inactive,Bentwood of Houston,4508 Lovers Lane,Dallas,TX,75225,bentwoodluxuryhome.com,dcook@bentwoodkitchens.com,214 750 0271
inactive,Ginger Barber Design ,2025 W Alabama Street,Houston,TX,77098,gingerbarber.com,gingerbarber@gmail.com,713 523 1925
inactive,Laura U Design Studio,1840 Westheimer Road,Houston,TX,77098,laurauinteriordesign.com,design@laurau.com,713 522 0855
inactive,Emily Clark,,Charlotte,NC,,emilyaclark.com,emily@emilyaclark.com,
inactive,Gracies Custom Interiors Texas,PO Box 232,Sugar Land,TX,77487,graciescustominteriors.com,gracie@graciescustominteriors.com,281 686 0027
inactive,Carol Isaak Barden ,,Houston,TX,,carolisaakbarden.com,info@carolisaakbarden.com,713 520 5145
inactive,Slaney Designs,14103 Cindywood Circle,Houston,TX,77079,slaneydesigns.com,Stephen@slaneydesigns.com,281 221 7149
inactive,Vallone Design,7007 E 3rd Avenue,Scottsdale,AZ,85251,vallonedesign.com,studio@vallonedesign.com,480 421 2799
inactive,michelleNiday interiors,,Houston,TX,,michellenidayinteriors.com,Corey@michellenidayinteriors.com,213 614 9955
inactive,David F. Mills,,Phoenix,AZ,,davidfmills.wix.com,david@dmillsphotography.com,480 272 4145
inactive,Greg Premru Photography,274 Main Street Suite B,Groton,MA,01450,gregpremru.com,info@gregpremru.com,617 548 7433
inactive,Hooper Tetrault Studios,681 Main Street,Waltham,MA,02451,hoopertetrault.com,Brian@hoopertetrault.com,718 296 6915
inactive,Jay Graham Photography,,San Fancisco,CA,,jaygraham.com,jay@jaygraham.com,415 999 6434
inactive,Sierra Studios,,Chandler,AZ,,sierrastudiosphotography.com,info@jessicadowneyphoto.com,480 567 5607
inactive,Melissa Jill,,Phoenix,AZ,,melissajill.com,melissa@melissajill.com,480 241 9762
inactive,Striffler Photography,PO Box 148  910 Montauk Highway,Water Mill,NY,11976,striffler.com,Eric4@Striffler.com,516 220 6707
inactive,Susan Gilmore Photography,,Minneapolis,MN,,susangilmorephoto.com,sgphoto@mninter.net,763 545 4608
inactive,Melina Hammer,,New York,NY,,melinaphotos.com,melinaphotosnyc@gmail.com,917 239 7797
inactive,Trevor Smith,,Los Angeles,CA,,trevorsmithphoto.com,info@trevorsmithphoto.com,213 804 5106
inactive,Zack Benson,,San Diego,CA,,zackbenson.com,zack@zackbenson.com,760 505 6997
